 --- Query # 0 - "QU What are the effects of calcium on the physical properties of mucus   from CF patients? "
 ------ Doc # 875 = 0.170066
 ------ Doc # 533 = 0.149255
 ------ Doc # 437 = 0.125356
 ------ Doc # 439 = 0.122467
 ------ Doc # 856 = 0.122174
 ------ Doc # 568 = 0.119283
 ------ Doc # 311 = 0.117135
 ------ Doc # 392 = 0.110411
 ------ Doc # 302 = 0.104955
 ------ Doc # 499 = 0.104414
 ------ Doc # 52 = 0.101950
 ------ Doc # 593 = 0.099948
 ------ Doc # 461 = 0.096561
 ------ Doc # 975 = 0.090981
 ------ Doc # 505 = 0.090706
 ------ Doc # 767 = 0.089972
 ------ Doc # 497 = 0.089748
 ------ Doc # 189 = 0.089735
 ------ Doc # 950 = 0.088205
 ------ Doc # 741 = 0.083595
 ------ Doc # 490 = 0.083248
 ------ Doc # 957 = 0.082881
 ------ Doc # 527 = 0.082652
 ------ Doc # 398 = 0.081058
 ------ Doc # 827 = 0.080746
 ------ Doc # 441 = 0.079167
 ------ Doc # 754 = 0.078596
 ------ Doc # 926 = 0.077618
 ------ Doc # 139 = 0.075938
 ------ Doc # 943 = 0.073301
 ------ Doc # 1180 = 0.071512
 ------ Doc # 531 = 0.070767
 ------ Doc # 151 = 0.070586
 ------ Doc # 810 = 0.070479
 ------ Doc # 43 = 0.069884
 ------ Doc # 454 = 0.069862
 ------ Doc # 481 = 0.069590
 ------ Doc # 287 = 0.069254
 ------ Doc # 1188 = 0.069246
 ------ Doc # 711 = 0.068191
 ------ Doc # 931 = 0.067615
 ------ Doc # 106 = 0.067538
 ------ Doc # 321 = 0.067466
 ------ Doc # 958 = 0.067448
 ------ Doc # 884 = 0.067302
 ------ Doc # 288 = 0.066980
 ------ Doc # 1148 = 0.066928
 ------ Doc # 451 = 0.066908
 ------ Doc # 96 = 0.066763
 ------ Doc # 648 = 0.066404
 ------ Doc # 511 = 0.065540
 ------ Doc # 266 = 0.065290
 ------ Doc # 564 = 0.065054
 ------ Doc # 352 = 0.064560
 ------ Doc # 742 = 0.063460
 ------ Doc # 523 = 0.062850
 ------ Doc # 1218 = 0.062553
 ------ Doc # 802 = 0.061747
 ------ Doc # 496 = 0.061661
 ------ Doc # 685 = 0.061235
 ------ Doc # 44 = 0.061149
 ------ Doc # 914 = 0.061001
 ------ Doc # 265 = 0.059827
 ------ Doc # 85 = 0.059286
 ------ Doc # 500 = 0.058952
 ------ Doc # 850 = 0.058782
 ------ Doc # 327 = 0.058422
 ------ Doc # 28 = 0.058330
 ------ Doc # 510 = 0.057914
 ------ Doc # 166 = 0.057763
 ------ Doc # 829 = 0.057605
 ------ Doc # 134 = 0.057520
 ------ Doc # 1120 = 0.057446
 ------ Doc # 386 = 0.057161
 ------ Doc # 1234 = 0.057072
 ------ Doc # 157 = 0.056727
 ------ Doc # 701 = 0.056693
 ------ Doc # 960 = 0.056437
 ------ Doc # 529 = 0.056346
 ------ Doc # 27 = 0.056209
 ------ Doc # 620 = 0.055924
 ------ Doc # 552 = 0.055872
 ------ Doc # 636 = 0.055732
 ------ Doc # 1042 = 0.055456
 ------ Doc # 107 = 0.055368
 ------ Doc # 1012 = 0.055150
 ------ Doc # 726 = 0.055120
 ------ Doc # 1139 = 0.054786
