 --- Query # 1 - " What are the effects of calcium on the physical properties of mucus CF patients? "
 ------ Doc # 856 = 0.259098
 ------ Doc # 975 = 0.258306
 ------ Doc # 498 = 0.257925
 ------ Doc # 437 = 0.254548
 ------ Doc # 754 = 0.249619
 ------ Doc # 484 = 0.240898
 ------ Doc # 592 = 0.228922
 ------ Doc # 481 = 0.213107
 ------ Doc # 499 = 0.209278
 ------ Doc # 441 = 0.208675
 ------ Doc # 533 = 0.203459
 ------ Doc # 302 = 0.203111
 ------ Doc # 52 = 0.195605
 ------ Doc # 139 = 0.194773
 ------ Doc # 711 = 0.189433
 ------ Doc # 827 = 0.185539
 ------ Doc # 957 = 0.184589
 ------ Doc # 151 = 0.180079
 ------ Doc # 505 = 0.172949
 ------ Doc # 980 = 0.172072
 ------ Doc # 568 = 0.170680
 ------ Doc # 333 = 0.169556
 ------ Doc # 43 = 0.168794
 ------ Doc # 741 = 0.168519
 ------ Doc # 960 = 0.162685
 ------ Doc # 925 = 0.162592
 ------ Doc # 392 = 0.162393
 ------ Doc # 875 = 0.161277
 ------ Doc # 439 = 0.160702
 ------ Doc # 559 = 0.158532
 ------ Doc # 107 = 0.155478
 ------ Doc # 1188 = 0.154513
 ------ Doc # 40 = 0.154076
 ------ Doc # 189 = 0.154051
 ------ Doc # 270 = 0.152885
 ------ Doc # 950 = 0.152586
 ------ Doc # 386 = 0.150560
 ------ Doc # 1151 = 0.150308
 ------ Doc # 1107 = 0.147696
 ------ Doc # 304 = 0.147201
 ------ Doc # 526 = 0.146348
 ------ Doc # 1234 = 0.144534
 ------ Doc # 463 = 0.143297
 ------ Doc # 867 = 0.142329
 ------ Doc # 776 = 0.142088
 ------ Doc # 1185 = 0.141454
 ------ Doc # 311 = 0.139959
 ------ Doc # 265 = 0.138515
 ------ Doc # 967 = 0.138470
 ------ Doc # 322 = 0.138258
 ------ Doc # 27 = 0.137767
 ------ Doc # 11 = 0.137543
 ------ Doc # 435 = 0.136948
 ------ Doc # 332 = 0.135817
 ------ Doc # 742 = 0.132613
 ------ Doc # 497 = 0.131749
 ------ Doc # 246 = 0.130945
 ------ Doc # 501 = 0.130939
